fipstate,naics,emp,qp1,ap,est,year
6,713///,164351,607694,2562030,5311,1998
6,721///,181607,793364,3318563,6270,1998
6,722///,870458,2248983,9815691,56412,1998
6,811///,161949,965141,4193344,26844,1998
6,812///,133046,531332,2296961,19679,1998
6,813///,222336,996270,4194047,21132,1998
8,113///,0,0,0,58,1998
8,114///,0,0,0,10,1998
8,115///,905,4810,22082,186,1998
8,211///,4199,66462,210743,342,1998
8,212///,4454,52462,222259,196,1998
8,213///,3157,32714,136676,389,1998
8,221///,9849,132118,508635,314,1998
8,233///,29221,241997,1116541,4775,1998
8,234///,17593,146795,744280,755,1998
8,235///,86107,567686,2721534,10453,1998
8,311///,18171,110905,459985,415,1998
8,312///,6292,99791,380286,58,1998
8,313///,382,2505,10918,26,1998
8,314///,2219,14289,60738,112,1998
8,315///,2002,9577,39457,128,1998
8,316///,1397,13486,50411,32,1998
8,321///,4225,24493,109305,224,1998
8,322///,3106,26706,105489,53,1998
8,323///,12537,81051,350420,856,1998
8,324///,482,7366,32180,19,1998
8,325///,6449,65051,271910,171,1998
8,326///,5695,45934,179501,227,1998
8,327///,9480,79763,346287,280,1998
8,331///,2220,19722,78266,36,1998
8,332///,15934,121151,520720,812,1998
8,333///,13402,122089,492135,374,1998
8,334///,39014,473569,1927293,417,1998
8,335///,2480,21552,87357,90,1998
8,336///,13167,148847,584530,152,1998
8,337///,5099,32072,141895,347,1998
8,339///,9650,78624,326743,681,1998
8,421///,59045,630046,2610052,5110,1998
8,422///,33947,268749,1125442,2400,1998
8,441///,29616,220807,994575,1823,1998
8,442///,9247,50961,227008,1253,1998
8,443///,6847,37924,157909,830,1998
8,444///,21993,136398,602503,1554,1998
8,445///,42945,209736,872078,2020,1998
8,446///,10743,41139,175297,1145,1998
8,447///,14167,46301,202663,1780,1998
8,448///,19234,64872,268811,2487,1998
8,451///,15263,49507,199972,1634,1998
8,452///,37831,124109,496930,400,1998
8,453///,15655,54421,239166,2669,1998
8,454///,9040,48225,230560,788,1998
8,481///,14185,142004,601930,118,1998
8,483///,0,0,0,3,1998
8,484///,15778,111591,492165,1536,1998
8,485///,3793,17454,63132,150,1998
8,486///,220,3174,12589,23,1998
8,487///,0,0,0,30,1998
8,488///,5015,32257,122314,437,1998
8,492///,10734,72188,304432,232,1998
8,493///,0,0,0,88,1998
8,511///,23340,269682,1109859,917,1998
8,512///,4058,16548,67646,424,1998
8,513///,44391,610488,2531134,1169,1998
8,514///,8465,93711,386507,384,1998
8,521///,0,0,0,1,1998
8,522///,44070,399989,1646602,3070,1998
8,523///,12608,224156,880027,1449,1998
8,524///,40555,451989,1741616,3318,1998
8,525///,0,0,0,21,1998
8,531///,26137,160636,692232,5694,1998
8,532///,11970,68767,283639,1249,1998
8,533///,533,7635,32330,57,1998
8,541///,117740,1277250,5631574,16281,1998
8,551///,37410,500299,1932765,917,1998
8,561///,142725,723573,3214558,6869,1998
8,562///,8043,79371,336210,324,1998
8,611///,23700,124336,521825,1415,1998
8,621///,66651,537077,2448265,7648,1998
8,622///,60677,467497,1943487,88,1998
8,623///,28510,124614,504705,692,1998
8,624///,24963,87932,371010,1991,1998
8,711///,4758,83083,308316,541,1998
8,712///,1036,4572,22308,136,1998
8,713///,30134,116145,446767,1254,1998
8,721///,40929,158229,641864,1531,1998
8,722///,151703,370821,1566355,8670,1998
8,811///,22548,130541,578970,4156,1998
8,812///,19520,70948,302327,3040,1998
8,813///,41093,188752,785441,4356,1998
9,113///,0,0,0,15,1998
9,114///,0,0,0,22,1998
9,115///,0,0,0,61,1998
9,211///,0,0,0,7,1998
9,212///,0,0,0,59,1998
9,213///,0,0,0,7,1998
9,221///,11353,198176,739992,138,1998
9,233///,11804,107668,534188,2643,1998
9,234///,11925,100702,550225,450,1998
9,235///,36312,289483,1447383,6186,1998
9,311///,8891,57859,253366,310,1998
9,312///,0,0,0,20,1998
9,313///,3041,26154,113291,54,1998
9,314///,1529,7946,41604,87,1998
9,315///,1983,11667,48723,77,1998
9,316///,0,0,0,8,1998
9,321///,1499,10770,50160,123,1998
9,322///,5980,54961,242149,90,1998
9,323///,13333,119638,502232,652,1998
9,324///,453,4393,25821,41,1998
9,325///,16028,274734,1152289,166,1998
9,326///,10692,83581,370068,266,1998
9,327///,2685,23299,113235,149,1998
9,331///,5828,56631,244108,97,1998
9,332///,43452,397107,1740229,1498,1998
9,333///,24635,273864,1105533,641,1998
9,334///,23161,252412,1037490,390,1998
9,335///,14318,130703,558365,226,1998
9,336///,49437,612431,2457799,218,1998
9,337///,3018,22466,103008,243,1998
9,339///,15481,132641,586887,447,1998
9,421///,41992,521019,2236175,3480,1998
9,422///,31090,372965,1567851,1762,1998
9,441///,20570,160196,753893,1346,1998
9,442///,6765,35752,161852,924,1998
9,443///,4278,26822,115463,592,1998
9,444///,15208,98890,471568,1176,1998
9,445///,42955,171069,700073,2212,1998
9,446///,15205,61240,261720,1081,1998
9,447///,8487,31543,136937,1331,1998
9,448///,19915,69140,302260,2067,1998
9,451///,8493,28165,126396,1004,1998
9,452///,24634,79323,331909,326,1998
9,453///,10432,37990,176044,1582,1998
9,454///,13015,105670,451573,816,1998
9,481///,1103,9290,37592,43,1998
9,483///,957,12848,62920,39,1998
9,484///,7177,53893,244930,676,1998
9,485///,9101,37542,162128,314,1998
9,486///,0,0,0,5,1998
9,487///,0,0,0,13,1998
9,488///,3200,34559,145057,304,1998
9,492///,7378,56251,224665,109,1998
9,493///,727,4490,20584,46,1998
9,511///,16022,193837,820646,551,1998
9,512///,2118,10185,48364,258,1998
9,513///,19616,258896,980230,410,1998
9,514///,8910,91273,359678,320,1998
9,521///,0,0,0,1,1998
9,522///,30037,408431,1576818,2086,1998
9,523///,13591,903181,2893695,1285,1998
9,524///,78478,1257152,4600909,2266,1998
9,525///,0,0,0,19,1998
9,531///,14436,115073,499883,2575,1998
9,532///,6598,40960,185571,712,1998
9,533///,143,1475,7548,33,1998
9,541///,78060,967912,4410149,10200,1998
9,551///,46524,1238100,4414580,638,1998
9,561///,94467,484587,2250505,5146,1998
9,562///,4423,36185,184294,315,1998
9,611///,48791,320436,1356645,967,1998
9,621///,71609,575881,2694930,6539,1998
9,622///,60041,543297,2264857,56,1998
9,623///,51273,281352,1196887,795,1998
9,624///,28436,107082,461323,1869,1998
9,711///,3815,24870,123660,399,1998
9,712///,1938,8367,38563,115,1998
9,713///,29093,139287,640928,958,1998
9,721///,11029,46564,215493,375,1998
9,722///,84837,223114,993356,6374,1998
9,811///,15266,98962,433975,2951,1998
9,812///,18602,76313,342299,3291,1998
9,813///,27710,134950,580563,3415,1998
10,113///,0,0,0,10,1998
10,114///,0,0,0,8,1998
10,115///,0,0,0,25,1998
10,211///,0,0,0,4,1998
10,212///,0,0,0,11,1998
10,221///,2426,43321,135147,24,1998
10,233///,4681,32881,144005,744,1998
10,234///,2453,20090,103126,92,1998
10,235///,13233,91766,429178,1463,1998
10,311///,9428,42442,183579,77,1998
10,312///,0,0,0,4,1998
10,313///,0,0,0,9,1998
10,314///,0,0,0,14,1998
